Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0244189,41.5,16.0546875,0.06,0.126953125
10000,0.000748977,41.5,16.0546875,0.06,0.126953125
10000,0.0261056,41.5,16.0546875,0.06,0.126953125
10000,0.00067231,41.5,16.0546875,0.06,0.126953125
10000,0.001535,41.5,16.0546875,0.06,0.126953125
10000,0.0206258,41.5,16.0546875,0.06,0.126953125
10000,0.000620204,41.5,16.0546875,0.06,0.126953125
10000,0.000390424,41.5,16.0546875,0.06,0.126953125
10000,0.000848307,41.5,16.0546875,0.06,0.126953125
10000,0.00128685,41.5,16.0546875,0.06,0.126953125
10000,0.0197424,41.5,16.0546875,0.06,0.126953125
10000,0.00051195,41.5,16.0546875,0.06,0.126953125
10000,0.000352976,41.5,16.0546875,0.06,0.126953125
10000,0.00085946,41.5,16.0546875,0.06,0.126953125
10000,0.0012759,41.5,16.0546875,0.06,0.126953125
10000,0.0205695,27.5,182.7109375,0.06,0.126953125
10000,0.00036526,27.5,182.7109375,0.06,0.126953125
10000,0.000277175,27.5,182.7109375,0.06,0.126953125
10000,0.000979089,27.5,182.7109375,0.06,0.126953125
10000,0.00164145,27.5,182.7109375,0.06,0.126953125
10000,0.0212833,27.5,182.7109375,0.09,0.33984375
10000,0.000582411,27.5,182.7109375,0.09,0.33984375
10000,0.000429336,27.5,182.7109375,0.09,0.33984375
10000,0.000768015,27.5,182.7109375,0.09,0.33984375
10000,0.00130916,27.5,182.7109375,0.09,0.33984375
10000,0.0200045,27.5,182.7109375,0.09,0.33984375
10000,0.000431509,27.5,182.7109375,0.09,0.33984375
10000,0.00030523,27.5,182.7109375,0.09,0.33984375
10000,0.00097041,27.5,182.7109375,0.09,0.33984375
10000,0.00131086,27.5,182.7109375,0.09,0.33984375
10000,0.0197712,27.5,182.7109375,0.09,0.33984375
10000,0.000359831,27.5,182.7109375,0.09,0.33984375
10000,0.000347738,27.5,182.7109375,0.09,0.33984375
10000,0.000891851,27.5,182.7109375,0.09,0.33984375
10000,0.00128835,27.5,182.7109375,0.09,0.33984375
10000,0.0199842,27.5,182.7109375,0.09,0.33984375
10000,0.00049934,27.5,182.7109375,0.09,0.33984375
10000,0.000393145,27.5,182.7109375,0.09,0.33984375
10000,0.00080302,27.5,182.7109375,0.09,0.33984375
10000,0.00134003,27.5,182.7109375,0.09,0.33984375
10000,0.0198412,27.5,182.7109375,0.09,0.33984375
10000,0.000397935,27.5,182.7109375,0.09,0.33984375
10000,0.000372714,27.5,182.7109375,0.09,0.33984375
10000,0.000893072,27.5,182.7109375,0.09,0.33984375
10000,0.00130793,27.5,182.7109375,0.09,0.33984375
10000,0.0199274,27.5,182.7109375,0.09,0.33984375
10000,0.000384595,27.5,182.7109375,0.09,0.33984375
10000,0.000354265,27.5,182.7109375,0.09,0.33984375
10000,0.000924901,27.5,182.7109375,0.09,0.33984375
10000,0.00133314,27.5,182.7109375,0.09,0.33984375
10000,0.0196894,27.5,182.7109375,0.09,0.33984375
10000,0.000396507,27.5,182.7109375,0.09,0.33984375
10000,0.000346363,27.5,182.7109375,0.09,0.33984375
10000,0.00090804,27.5,182.7109375,0.09,0.33984375
10000,0.0013191,27.5,182.7109375,0.09,0.33984375
10000,0.0196894,27.5,182.7109375,0.09,0.33984375
10000,0.000418641,27.5,182.7109375,0.09,0.33984375
10000,0.000322746,27.5,182.7109375,0.09,0.33984375
10000,0.00094207,27.5,182.7109375,0.09,0.33984375
10000,0.00137497,27.5,182.7109375,0.09,0.33984375
10000,0.020144,27.5,182.7109375,0.09,0.33984375
10000,0.000635517,27.5,182.7109375,0.09,0.33984375
10000,0.000348517,27.5,182.7109375,0.09,0.33984375
10000,0.000726764,27.5,182.7109375,0.09,0.33984375
10000,0.00127453,27.5,182.7109375,0.09,0.33984375
10000,0.0211902,27.5,182.60546875,0.09,0.33984375
10000,0.000442232,27.5,182.60546875,0.09,0.33984375
10000,0.000330219,27.5,182.60546875,0.09,0.33984375
10000,0.00102368,27.5,182.60546875,0.09,0.33984375
10000,0.00119983,27.5,182.60546875,0.09,0.33984375
10000,0.0218708,27.5,182.60546875,0.09,0.33984375
10000,0.000549793,27.5,182.60546875,0.09,0.33984375
10000,0.00317558,27.5,182.60546875,0.09,0.33984375
10000,0.000532994,27.5,182.60546875,0.09,0.33984375
10000,0.000703383,27.5,182.60546875,0.09,0.33984375
10000,0.020389,27.5,182.60546875,0.28,0.33984375
10000,0.000470689,27.5,182.60546875,0.28,0.33984375
10000,0.00034602,27.5,182.60546875,0.28,0.33984375
10000,0.000828454,27.5,182.60546875,0.28,0.33984375
10000,0.00136049,27.5,182.60546875,0.28,0.33984375
10000,0.0199944,27.5,182.60546875,0.28,0.33984375
10000,0.000533469,27.5,182.60546875,0.28,0.33984375
10000,0.000341571,27.5,182.60546875,0.28,0.33984375
10000,0.000831188,27.5,182.60546875,0.28,0.33984375
10000,0.00130932,27.5,182.60546875,0.28,0.33984375
10000,0.0197656,27.5,182.60546875,0.28,0.33984375
10000,0.000610244,27.5,182.60546875,0.28,0.33984375
10000,0.000375857,27.5,182.60546875,0.28,0.33984375
10000,0.000741015,27.5,182.60546875,0.28,0.33984375
10000,0.00131277,27.5,182.60546875,0.28,0.33984375
10000,0.0202029,27.5,182.60546875,0.28,0.33984375
10000,0.000582368,27.5,182.60546875,0.28,0.33984375
10000,0.000460601,27.5,182.60546875,0.28,0.33984375
10000,0.000658747,27.5,182.60546875,0.28,0.33984375
10000,0.00129089,27.5,182.60546875,0.28,0.33984375
10000,0.0198421,27.5,182.60546875,0.28,0.33984375
10000,0.000460882,27.5,182.60546875,0.28,0.33984375
10000,0.000320723,27.5,182.60546875,0.28,0.33984375
10000,0.00085077,27.5,182.60546875,0.28,0.33984375
10000,0.00128389,27.5,182.60546875,0.28,0.33984375
10000,0.0199211,27.5,182.60546875,0.28,0.33984375
10000,0.000509416,27.5,182.60546875,0.28,0.33984375
10000,0.000387577,27.5,182.60546875,0.28,0.33984375
10000,0.000782394,27.5,182.60546875,0.28,0.33984375
10000,0.00131571,27.5,182.60546875,0.28,0.33984375
10000,0.0197639,27.5,182.60546875,0.28,0.33984375
10000,0.000472385,27.5,182.60546875,0.28,0.33984375
10000,0.000404053,27.5,182.60546875,0.28,0.33984375
10000,0.000765679,27.5,182.60546875,0.28,0.33984375
10000,0.00127165,27.5,182.60546875,0.28,0.33984375
10000,0.0201213,27.5,182.60546875,0.28,0.33984375
10000,0.000389068,27.5,182.60546875,0.28,0.33984375
10000,0.000368046,27.5,182.60546875,0.28,0.33984375
10000,0.000840517,27.5,182.60546875,0.28,0.33984375
10000,0.00122831,27.5,182.60546875,0.28,0.33984375
10000,0.020203,27.5,182.60546875,0.28,0.33984375
10000,0.000729855,27.5,182.60546875,0.28,0.33984375
10000,0.000509591,27.5,182.60546875,0.28,0.33984375
10000,0.000456054,27.5,182.60546875,0.28,0.33984375
10000,0.00122174,27.5,182.60546875,0.28,0.33984375
10000,0.0217318,27.5,182.60546875,0.28,0.33984375
10000,0.00118034,27.5,182.60546875,0.28,0.33984375
10000,0.000771854,27.5,182.60546875,0.28,0.33984375
10000,0.000481958,27.5,182.60546875,0.28,0.33984375
10000,0.00064396,27.5,182.60546875,0.28,0.33984375
10000,0.0209638,27.5,182.60546875,0.28,0.33984375
10000,0.000417341,27.5,182.60546875,0.28,0.33984375
10000,0.000340544,27.5,182.60546875,0.28,0.33984375
10000,0.000927927,27.5,182.60546875,0.28,0.33984375
10000,0.0012883,27.5,182.60546875,0.28,0.33984375
10000,0.019853,27.5,182.60546875,0.28,0.33984375
10000,0.000477741,27.5,182.60546875,0.28,0.33984375
10000,0.000349092,27.5,182.60546875,0.28,0.33984375
10000,0.000846492,27.5,182.60546875,0.28,0.33984375
10000,0.00128645,27.5,182.60546875,0.28,0.33984375
10000,0.0197744,27.5,182.60546875,0.28,0.33984375
10000,0.000431289,27.5,182.60546875,0.28,0.33984375
10000,0.000362778,27.5,182.60546875,0.28,0.33984375
10000,0.000917167,27.5,182.60546875,0.28,0.33984375
10000,0.00134382,27.5,182.60546875,0.28,0.33984375
10000,0.0197466,27.5,182.60546875,0.28,0.33984375
10000,0.000615198,27.5,182.60546875,0.28,0.33984375
10000,0.000338217,27.5,182.60546875,0.28,0.33984375
10000,0.000718608,27.5,182.60546875,0.28,0.33984375
10000,0.00127939,27.5,182.60546875,0.28,0.33984375
10000,0.0197305,27.5,182.60546875,0.28,0.33984375
10000,0.000385874,27.5,182.60546875,0.28,0.33984375
10000,0.000373256,27.5,182.60546875,0.28,0.33984375
10000,0.00086127,27.5,182.60546875,0.28,0.33984375
10000,0.00134474,27.5,182.60546875,0.28,0.33984375
10000,0.021307,27.5,182.60546875,0.28,0.33984375
10000,0.000464989,27.5,182.60546875,0.28,0.33984375
10000,0.000404622,27.5,182.60546875,0.28,0.33984375
10000,0.000730535,27.5,182.60546875,0.28,0.33984375
10000,0.00124955,27.5,182.60546875,0.28,0.33984375
10000,0.0196601,27.5,182.60546875,0.28,0.33984375
10000,0.000506217,27.5,182.60546875,0.28,0.33984375
10000,0.000349954,27.5,182.60546875,0.28,0.33984375
10000,0.000785885,27.5,182.60546875,0.28,0.33984375
10000,0.00142156,27.5,182.60546875,0.28,0.33984375
10000,0.0201543,27.5,182.60546875,0.28,0.33984375
10000,0.00055969,27.5,182.60546875,0.28,0.33984375
10000,0.000326047,27.5,182.60546875,0.28,0.33984375
10000,0.000788302,27.5,182.60546875,0.28,0.33984375
10000,0.00129412,27.5,182.60546875,0.28,0.33984375
10000,0.020141,27.5,182.60546875,0.28,0.33984375
10000,0.000583377,27.5,182.60546875,0.28,0.33984375
10000,0.000377519,27.5,182.60546875,0.28,0.33984375
10000,0.000808691,27.5,182.60546875,0.28,0.33984375
10000,0.00128568,27.5,182.60546875,0.28,0.33984375
10000,0.0211124,29.3,182.60546875,0.28,0.33984375
10000,0.00166071,29.3,182.60546875,0.28,0.33984375
10000,0.000530721,29.3,182.60546875,0.28,0.33984375
10000,0.000757685,29.3,182.60546875,0.28,0.33984375
10000,0.00128427,29.3,182.60546875,0.28,0.33984375
10000,0.0215665,29.3,182.60546875,0.27,0.33984375
10000,0.000606585,29.3,182.60546875,0.27,0.33984375
10000,0.000526034,29.3,182.60546875,0.27,0.33984375
10000,0.000616012,29.3,182.60546875,0.27,0.33984375
10000,0.00129347,29.3,182.60546875,0.27,0.33984375
10000,0.0197423,29.3,182.60546875,0.27,0.33984375
10000,0.000607857,29.3,182.60546875,0.27,0.33984375
10000,0.000404675,29.3,182.60546875,0.27,0.33984375
10000,0.000691721,29.3,182.60546875,0.27,0.33984375
10000,0.00127198,29.3,182.60546875,0.27,0.33984375
10000,0.0201479,29.3,182.60546875,0.27,0.33984375
10000,0.000468199,29.3,182.60546875,0.27,0.33984375
10000,0.000399907,29.3,182.60546875,0.27,0.33984375
10000,0.0008463,29.3,182.60546875,0.27,0.33984375
10000,0.00132334,29.3,182.60546875,0.27,0.33984375
10000,0.0197977,29.3,182.60546875,0.27,0.33984375
10000,0.000399537,29.3,182.60546875,0.27,0.33984375
10000,0.00035372,29.3,182.60546875,0.27,0.33984375
10000,0.00130001,29.3,182.60546875,0.27,0.33984375
10000,0.000861242,29.3,182.60546875,0.27,0.33984375
10000,0.0200508,29.3,182.60546875,0.27,0.33984375
10000,0.000456204,29.3,182.60546875,0.27,0.33984375
10000,0.000348474,29.3,182.60546875,0.27,0.33984375
10000,0.000825846,29.3,182.60546875,0.27,0.33984375
10000,0.00126519,29.3,182.60546875,0.27,0.33984375
10000,0.0197405,29.3,182.60546875,0.27,0.33984375
10000,0.000380428,29.3,182.60546875,0.27,0.33984375
10000,0.000435841,29.3,182.60546875,0.27,0.33984375
10000,0.000795451,29.3,182.60546875,0.27,0.33984375
10000,0.00130412,29.3,182.60546875,0.27,0.33984375
10000,0.0197272,29.3,182.60546875,0.27,0.33984375
10000,0.000527098,29.3,182.60546875,0.27,0.33984375
10000,0.000325904,29.3,182.60546875,0.27,0.33984375
10000,0.000806837,29.3,182.60546875,0.27,0.33984375
10000,0.00138785,29.3,182.60546875,0.27,0.33984375
10000,0.0202229,29.3,182.60546875,0.27,0.33984375
10000,0.000500073,29.3,182.60546875,0.27,0.33984375
10000,0.000389325,29.3,182.60546875,0.27,0.33984375
10000,0.000750903,29.3,182.60546875,0.27,0.33984375
10000,0.00125868,29.3,182.60546875,0.27,0.33984375
10000,0.0199633,29.3,182.60546875,0.27,0.33984375
10000,0.000536023,29.3,182.60546875,0.27,0.33984375
10000,0.00033427,29.3,182.60546875,0.27,0.33984375
10000,0.00081018,29.3,182.60546875,0.27,0.33984375
10000,0.00127189,29.3,182.60546875,0.27,0.33984375
10000,0.0207006,29.3,184.60546875,0.27,0.33984375
10000,0.000434094,29.3,184.60546875,0.27,0.33984375
10000,0.000419302,29.3,184.60546875,0.27,0.33984375
10000,0.000854736,29.3,184.60546875,0.27,0.33984375
10000,0.00137902,29.3,184.60546875,0.27,0.33984375
10000,0.0219612,29.3,184.60546875,0.27,0.33984375
10000,0.00054316,29.3,184.60546875,0.31,0.33984375
10000,0.000474788,29.3,184.60546875,0.31,0.33984375
10000,0.000669531,29.3,184.60546875,0.31,0.33984375
10000,0.00127423,29.3,184.60546875,0.31,0.33984375
10000,0.020094,29.3,184.60546875,0.31,0.33984375
10000,0.000505258,29.3,184.60546875,0.31,0.33984375
10000,0.000267531,29.3,184.60546875,0.31,0.33984375
10000,0.000859117,29.3,184.60546875,0.31,0.33984375
10000,0.00139344,29.3,184.60546875,0.31,0.33984375
10000,0.0204257,29.3,184.60546875,0.31,0.33984375
10000,0.000523749,29.3,184.60546875,0.31,0.33984375
10000,0.000395497,29.3,184.60546875,0.31,0.33984375
10000,0.000708973,29.3,184.60546875,0.31,0.33984375
10000,0.00134828,29.3,184.60546875,0.31,0.33984375
10000,0.0198308,29.3,184.60546875,0.31,0.33984375
10000,0.000518114,29.3,184.60546875,0.31,0.33984375
10000,0.00032095,29.3,184.60546875,0.31,0.33984375
10000,0.000844077,29.3,184.60546875,0.31,0.33984375
10000,0.00140742,29.3,184.60546875,0.31,0.33984375
10000,0.0200182,29.3,184.60546875,0.31,0.33984375
10000,0.000504931,29.3,184.60546875,0.31,0.33984375
10000,0.000586332,29.3,184.60546875,0.31,0.33984375
10000,0.000618248,29.3,184.60546875,0.31,0.33984375
10000,0.00136017,29.3,184.60546875,0.31,0.33984375
10000,0.0199486,29.3,184.60546875,0.31,0.33984375
10000,0.000494442,29.3,184.60546875,0.31,0.33984375
10000,0.000419277,29.3,184.60546875,0.31,0.33984375
10000,0.000824996,29.3,184.60546875,0.31,0.33984375
10000,0.00129224,29.3,184.60546875,0.31,0.33984375
10000,0.0200943,29.3,184.60546875,0.31,0.33984375
10000,0.000601224,29.3,184.60546875,0.31,0.33984375
10000,0.000394974,29.3,184.60546875,0.31,0.33984375
10000,0.000826805,29.3,184.60546875,0.31,0.33984375
10000,0.00117006,29.3,184.60546875,0.31,0.33984375
10000,0.0197548,29.3,184.60546875,0.31,0.33984375
10000,0.000399183,29.3,184.60546875,0.31,0.33984375
10000,0.000353618,29.3,184.60546875,0.31,0.33984375
10000,0.000910782,29.3,184.60546875,0.31,0.33984375
10000,0.00132377,29.3,184.60546875,0.31,0.33984375
10000,0.0205885,29.3,184.60546875,0.31,0.33984375
10000,0.00056008,29.3,184.60546875,0.31,0.33984375
10000,0.000421459,29.3,184.60546875,0.31,0.33984375
10000,0.000697796,29.3,184.60546875,0.31,0.33984375
10000,0.00139569,29.3,184.60546875,0.31,0.33984375
10000,0.0204197,27.5,184.60546875,0.31,0.33984375
10000,0.000445539,27.5,184.60546875,0.31,0.33984375
10000,0.000330018,27.5,184.60546875,0.31,0.33984375
10000,0.000922265,27.5,184.60546875,0.31,0.33984375
10000,0.00128412,27.5,184.60546875,0.31,0.33984375
10000,0.0211345,27.5,184.60546875,0.31,0.33984375
10000,0.00291594,27.5,184.60546875,0.31,0.33984375
10000,0.000944306,27.5,184.60546875,0.31,0.33984375
10000,0.000754615,27.5,184.60546875,0.31,0.33984375
10000,0.000858378,27.5,184.60546875,0.28,0.33984375
10000,0.020089,27.5,184.60546875,0.28,0.33984375
10000,0.000606328,27.5,184.60546875,0.28,0.33984375
10000,0.000354893,27.5,184.60546875,0.28,0.33984375
10000,0.000748223,27.5,184.60546875,0.28,0.33984375
10000,0.00133429,27.5,184.60546875,0.28,0.33984375
10000,0.0200257,27.5,184.60546875,0.28,0.33984375
10000,0.000571559,27.5,184.60546875,0.28,0.33984375
10000,0.000331663,27.5,184.60546875,0.28,0.33984375
10000,0.00086994,27.5,184.60546875,0.28,0.33984375
10000,0.00126921,27.5,184.60546875,0.28,0.33984375
10000,0.0197128,27.5,184.60546875,0.28,0.33984375
10000,0.000492892,27.5,184.60546875,0.28,0.33984375
10000,0.000324064,27.5,184.60546875,0.28,0.33984375
10000,0.000801781,27.5,184.60546875,0.28,0.33984375
10000,0.00133912,27.5,184.60546875,0.28,0.33984375
10000,0.0197166,27.5,184.60546875,0.28,0.33984375
10000,0.000625457,27.5,184.60546875,0.28,0.33984375
10000,0.000345312,27.5,184.60546875,0.28,0.33984375
10000,0.00081343,27.5,184.60546875,0.28,0.33984375
10000,0.00131333,27.5,184.60546875,0.28,0.33984375
15000,0.0291965,27.5,184.60546875,0.28,0.33984375
15000,0.000795321,27.5,184.60546875,0.28,0.33984375
15000,0.000607146,27.5,184.60546875,0.28,0.33984375
15000,0.000856555,27.5,184.60546875,0.28,0.33984375
15000,0.0016569,27.5,184.60546875,0.28,0.33984375
15000,0.029784,27.5,184.60546875,0.28,0.33984375
15000,0.000635482,27.5,184.60546875,0.28,0.33984375
15000,0.000406576,27.5,184.60546875,0.28,0.33984375
15000,0.00109437,27.5,184.60546875,0.28,0.33984375
15000,0.00157461,27.5,184.60546875,0.28,0.33984375
15000,0.0299856,28.6,185.48046875,0.28,0.33984375
15000,0.000630437,28.6,185.48046875,0.28,0.33984375
15000,0.000337268,28.6,185.48046875,0.28,0.33984375
15000,0.00116997,28.6,185.48046875,0.28,0.33984375
15000,0.00144847,28.6,185.48046875,0.28,0.33984375
15000,0.0308624,28.6,185.48046875,0.22,0.33984375
15000,0.000616092,28.6,185.48046875,0.22,0.33984375
15000,0.00053895,28.6,185.48046875,0.22,0.33984375
15000,0.000984671,28.6,185.48046875,0.22,0.33984375
15000,0.00143518,28.6,185.48046875,0.22,0.33984375
15000,0.0290595,28.6,185.48046875,0.22,0.33984375
15000,0.000369168,28.6,185.48046875,0.22,0.33984375
15000,0.000328709,28.6,185.48046875,0.22,0.33984375
15000,0.00120787,28.6,185.48046875,0.22,0.33984375
15000,0.00153111,28.6,185.48046875,0.22,0.33984375
15000,0.0292155,28.6,185.48046875,0.22,0.33984375
