Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0255465,28.2,15.9921875,0.21,0.126953125
10000,0.00157461,28.2,15.9921875,0.21,0.126953125
10000,0.0337696,28.2,15.9921875,0.21,0.126953125
10000,0.00114981,28.2,15.9921875,0.21,0.126953125
10000,0.00107421,28.2,15.9921875,0.21,0.126953125
10000,0.0209665,28.2,15.9921875,0.21,0.126953125
10000,0.000875408,28.2,15.9921875,0.21,0.126953125
10000,0.000831481,28.2,15.9921875,0.21,0.126953125
10000,0.00083891,28.2,15.9921875,0.21,0.126953125
10000,0.000921216,28.2,15.9921875,0.21,0.126953125
10000,0.019938,28.2,15.9921875,0.21,0.126953125
10000,0.000921864,28.2,15.9921875,0.21,0.126953125
10000,0.00093883,27.5,15.9921875,0.21,0.126953125
10000,0.00124933,27.5,185.32421875,0.21,0.126953125
10000,0.00104189,27.5,185.32421875,0.21,0.126953125
10000,0.0216417,27.5,185.32421875,0.21,0.126953125
10000,0.000995529,27.5,185.32421875,0.21,0.126953125
10000,0.00106862,27.5,185.32421875,0.21,0.126953125
10000,0.000959892,27.5,185.32421875,0.21,0.126953125
10000,0.00109794,27.5,185.32421875,0.21,0.126953125
10000,0.0212046,27.5,185.32421875,0.19,0.3388671875
10000,0.00099998,27.5,185.32421875,0.19,0.3388671875
10000,0.00100883,27.5,185.32421875,0.19,0.3388671875
10000,0.00119337,27.5,185.32421875,0.19,0.3388671875
10000,0.0010799,27.5,185.32421875,0.19,0.3388671875
10000,0.0200426,27.5,185.32421875,0.19,0.3388671875
10000,0.000928185,27.5,185.32421875,0.19,0.3388671875
10000,0.00101411,27.5,185.32421875,0.19,0.3388671875
10000,0.000907552,27.5,185.32421875,0.19,0.3388671875
10000,0.00103529,27.5,185.32421875,0.19,0.3388671875
10000,0.0210502,27.5,185.32421875,0.19,0.3388671875
10000,0.000973178,27.5,185.32421875,0.19,0.3388671875
10000,0.00115449,27.5,185.32421875,0.19,0.3388671875
10000,0.00102486,27.5,185.32421875,0.19,0.3388671875
10000,0.000924966,27.5,185.32421875,0.19,0.3388671875
10000,0.0201277,27.5,185.32421875,0.19,0.3388671875
10000,0.0010159,27.5,185.32421875,0.19,0.3388671875
10000,0.000935909,27.5,185.32421875,0.19,0.3388671875
10000,0.000896139,27.5,185.32421875,0.19,0.3388671875
10000,0.000912174,27.5,185.32421875,0.19,0.3388671875
10000,0.0201486,27.5,185.32421875,0.19,0.3388671875
10000,0.000951432,27.5,185.32421875,0.19,0.3388671875
10000,0.00097764,27.5,185.32421875,0.19,0.3388671875
10000,0.000948612,27.5,185.32421875,0.19,0.3388671875
10000,0.00105842,27.5,185.32421875,0.19,0.3388671875
