Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0248736,35.0,15.9375,0.11,0.126953125
10000,0.000838129,35.0,15.9375,0.11,0.126953125
10000,0.0269398,35.0,15.9375,0.11,0.126953125
10000,0.000417803,35.0,15.9375,0.11,0.126953125
10000,0.00189305,35.0,15.9375,0.11,0.126953125
10000,0.0208226,35.0,15.9375,0.11,0.126953125
10000,0.00063155,35.0,15.9375,0.11,0.126953125
10000,0.000384021,35.0,15.9375,0.11,0.126953125
10000,0.000965559,35.0,15.9375,0.11,0.126953125
10000,0.00134224,35.0,15.9375,0.11,0.126953125
10000,0.0198551,35.0,15.9375,0.11,0.126953125
10000,0.000462548,35.0,15.9375,0.11,0.126953125
10000,0.000367501,35.0,15.9375,0.11,0.126953125
10000,0.000938859,35.0,15.9375,0.11,0.126953125
10000,0.00126675,35.0,15.9375,0.11,0.126953125
10000,0.0212946,30.0,186.7421875,0.11,0.126953125
10000,0.00052447,30.0,186.7421875,0.11,0.126953125
10000,0.000918045,30.0,186.7421875,0.11,0.126953125
10000,0.000535976,30.0,186.7421875,0.11,0.126953125
10000,0.00113274,30.0,186.7421875,0.11,0.126953125
10000,0.0210239,30.0,186.7421875,0.1,0.34375
10000,0.000529044,30.0,186.7421875,0.1,0.34375
10000,0.000518249,30.0,186.7421875,0.1,0.34375
10000,0.000736276,30.0,186.7421875,0.1,0.34375
10000,0.00131059,30.0,186.7421875,0.1,0.34375
10000,0.0197835,30.0,186.7421875,0.1,0.34375
10000,0.00045963,30.0,186.7421875,0.1,0.34375
10000,0.000329897,30.0,186.7421875,0.1,0.34375
10000,0.00100051,30.0,186.7421875,0.1,0.34375
10000,0.00124982,30.0,186.7421875,0.1,0.34375
10000,0.019878,30.0,186.7421875,0.1,0.34375
10000,0.000494228,30.0,186.7421875,0.1,0.34375
10000,0.000365927,30.0,186.7421875,0.1,0.34375
10000,0.000922171,30.0,186.7421875,0.1,0.34375
10000,0.0012891,30.0,186.7421875,0.1,0.34375
10000,0.0197152,30.0,186.7421875,0.1,0.34375
10000,0.000465429,30.0,186.7421875,0.1,0.34375
10000,0.000339278,30.0,186.7421875,0.1,0.34375
10000,0.000982879,30.0,186.7421875,0.1,0.34375
10000,0.00131446,30.0,186.7421875,0.1,0.34375
10000,0.0196611,30.0,186.7421875,0.1,0.34375
