Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0282561,26.8,16.1796875,0.17,0.3017578125
10000,0.000789535,26.8,16.1796875,0.17,0.3017578125
10000,0.0279066,26.8,16.1796875,0.17,0.3017578125
10000,0.000414585,26.8,16.1796875,0.17,0.3017578125
10000,0.00119086,26.8,16.1796875,0.17,0.3017578125
10000,0.0235512,26.8,16.1796875,0.17,0.3017578125
10000,0.00210962,26.8,16.1796875,0.17,0.3017578125
10000,0.000675093,26.8,16.1796875,0.17,0.3017578125
10000,0.000572474,26.8,16.1796875,0.17,0.3017578125
10000,0.000507556,26.8,16.1796875,0.17,0.3017578125
10000,0.0217262,26.8,16.1796875,0.17,0.3017578125
10000,0.000895648,26.8,16.1796875,0.17,0.3017578125
10000,0.000420767,26.8,16.1796875,0.17,0.3017578125
10000,0.000505822,26.8,16.1796875,0.17,0.3017578125
10000,0.000817281,26.8,16.1796875,0.17,0.3017578125
10000,0.021732,26.8,16.1796875,0.17,0.3017578125
10000,0.00125148,26.8,16.1796875,0.17,0.3017578125
10000,0.000413359,26.8,16.1796875,0.17,0.3017578125
10000,0.000545896,26.8,16.1796875,0.17,0.3017578125
10000,0.000707627,26.8,16.1796875,0.17,0.3017578125
10000,0.022181,26.8,16.1796875,0.17,0.3017578125
10000,0.00081929,26.8,16.1796875,0.17,0.3017578125
10000,0.000406684,26.8,16.1796875,0.17,0.3017578125
10000,0.000503294,26.8,16.1796875,0.17,0.3017578125
10000,0.000771927,26.8,16.1796875,0.17,0.3017578125
10000,0.0219218,26.8,16.1796875,0.17,0.3017578125
10000,0.00091746,26.8,16.1796875,0.17,0.3017578125
10000,0.000399105,26.8,16.1796875,0.17,0.3017578125
10000,0.000542788,26.8,16.1796875,0.17,0.3017578125
10000,0.000761421,26.8,16.1796875,0.17,0.3017578125
10000,0.0218075,26.8,16.1796875,0.17,0.3017578125
10000,0.000935235,26.8,16.1796875,0.17,0.3017578125
10000,0.000342271,26.8,16.1796875,0.17,0.3017578125
10000,0.000554273,26.8,16.1796875,0.17,0.3017578125
10000,0.000740853,26.8,16.1796875,0.17,0.3017578125
10000,0.0237059,27.5,184.66796875,0.17,0.3017578125
10000,0.00128675,27.5,184.66796875,0.17,0.3017578125
10000,0.000593248,27.5,184.66796875,0.17,0.3017578125
10000,0.000737733,27.5,184.66796875,0.17,0.3017578125
10000,0.000563496,27.5,184.66796875,0.17,0.3017578125
10000,0.0230124,27.5,184.66796875,0.19,0.3173828125
10000,0.00108194,27.5,184.66796875,0.19,0.3173828125
10000,0.000468723,27.5,184.66796875,0.19,0.3173828125
10000,0.000652709,27.5,184.66796875,0.19,0.3173828125
10000,0.00079222,27.5,184.66796875,0.19,0.3173828125
10000,0.021712,27.5,184.66796875,0.19,0.3173828125
10000,0.000931073,27.5,184.66796875,0.19,0.3173828125
10000,0.000369043,27.5,184.66796875,0.19,0.3173828125
10000,0.000563752,27.5,184.66796875,0.19,0.3173828125
10000,0.000703781,27.5,184.66796875,0.19,0.3173828125
10000,0.0217376,27.5,184.66796875,0.19,0.3173828125
10000,0.000869583,27.5,184.66796875,0.19,0.3173828125
10000,0.000345156,27.5,184.66796875,0.19,0.3173828125
10000,0.000589986,27.5,184.66796875,0.19,0.3173828125
10000,0.000814831,27.5,184.66796875,0.19,0.3173828125
10000,0.0217529,27.5,184.66796875,0.19,0.3173828125
10000,0.0010115,27.5,184.66796875,0.19,0.3173828125
10000,0.000445001,27.5,184.66796875,0.19,0.3173828125
10000,0.000463897,27.5,184.66796875,0.19,0.3173828125
10000,0.000778629,27.5,184.66796875,0.19,0.3173828125
10000,0.0222201,27.5,184.66796875,0.19,0.3173828125
10000,0.00100465,27.5,184.66796875,0.19,0.3173828125
10000,0.000401586,27.5,184.66796875,0.19,0.3173828125
10000,0.000536854,27.5,184.66796875,0.19,0.3173828125
10000,0.000789772,27.5,184.66796875,0.19,0.3173828125
10000,0.0220844,27.5,184.66796875,0.19,0.3173828125
10000,0.00100968,27.5,184.66796875,0.19,0.3173828125
10000,0.000585883,27.5,184.66796875,0.19,0.3173828125
10000,0.00039493,27.5,184.66796875,0.19,0.3173828125
10000,0.000698038,27.5,184.66796875,0.19,0.3173828125
10000,0.0230822,27.5,184.66796875,0.19,0.3173828125
10000,0.00084582,27.5,184.66796875,0.19,0.3173828125
10000,0.000349352,27.5,184.66796875,0.19,0.3173828125
10000,0.000586373,27.5,184.66796875,0.19,0.3173828125
10000,0.000779462,27.5,184.66796875,0.19,0.3173828125
10000,0.0222358,27.5,184.66796875,0.19,0.3173828125
10000,0.000991839,27.5,184.66796875,0.19,0.3173828125
10000,0.00035493,27.5,184.66796875,0.19,0.3173828125
10000,0.000573154,27.5,184.66796875,0.19,0.3173828125
10000,0.000801051,27.5,184.66796875,0.19,0.3173828125
10000,0.0224727,26.3,184.5625,0.19,0.3173828125
10000,0.000908041,26.3,184.5625,0.19,0.3173828125
10000,0.00033203,26.3,184.5625,0.19,0.3173828125
10000,0.000944778,26.3,184.5625,0.19,0.3173828125
10000,0.00153685,26.3,184.5625,0.19,0.3173828125
10000,0.0234917,26.3,184.5625,0.16,0.3173828125
10000,0.00115334,26.3,184.5625,0.16,0.3173828125
10000,0.00042176,26.3,184.5625,0.16,0.3173828125
10000,0.000474847,26.3,184.5625,0.16,0.3173828125
10000,0.000838218,26.3,184.5625,0.16,0.3173828125
10000,0.0228983,26.3,184.5625,0.16,0.3173828125
10000,0.000806324,26.3,184.5625,0.16,0.3173828125
10000,0.000283219,26.3,184.5625,0.16,0.3173828125
10000,0.00061316,26.3,184.5625,0.16,0.3173828125
10000,0.000771502,26.3,184.5625,0.16,0.3173828125
10000,0.0218185,26.3,184.5625,0.16,0.3173828125
10000,0.000976304,26.3,184.5625,0.16,0.3173828125
10000,0.000526631,26.3,184.5625,0.16,0.3173828125
10000,0.000441789,26.3,184.5625,0.16,0.3173828125
10000,0.000733687,26.3,184.5625,0.16,0.3173828125
10000,0.0217629,26.3,184.5625,0.16,0.3173828125
10000,0.000912034,26.3,184.5625,0.16,0.3173828125
10000,0.000433071,26.3,184.5625,0.16,0.3173828125
10000,0.000488696,26.3,184.5625,0.16,0.3173828125
10000,0.00108147,26.3,184.5625,0.16,0.3173828125
10000,0.0221375,26.3,184.5625,0.16,0.3173828125
10000,0.000974844,26.3,184.5625,0.16,0.3173828125
10000,0.000312395,26.3,184.5625,0.16,0.3173828125
10000,0.000631431,26.3,184.5625,0.16,0.3173828125
10000,0.000793819,26.3,184.5625,0.16,0.3173828125
10000,0.0218123,26.3,184.5625,0.16,0.3173828125
10000,0.000982297,26.3,184.5625,0.16,0.3173828125
10000,0.000606249,26.3,184.5625,0.16,0.3173828125
10000,0.000797361,26.3,184.5625,0.16,0.3173828125
10000,0.000523318,26.3,184.5625,0.16,0.3173828125
10000,0.0217319,26.3,184.5625,0.16,0.3173828125
10000,0.000908702,26.3,184.5625,0.16,0.3173828125
10000,0.000353076,26.3,184.5625,0.16,0.3173828125
10000,0.000582735,26.3,184.5625,0.16,0.3173828125
10000,0.000790516,26.3,184.5625,0.16,0.3173828125
10000,0.0216893,26.3,184.5625,0.16,0.3173828125
10000,0.000923776,26.3,184.5625,0.16,0.3173828125
10000,0.000323449,26.3,184.5625,0.16,0.3173828125
10000,0.000582378,26.3,184.5625,0.16,0.3173828125
10000,0.000733389,26.3,184.5625,0.16,0.3173828125
10000,0.0223289,27.5,184.5625,0.16,0.3173828125
10000,0.000999113,27.5,184.5625,0.16,0.3173828125
10000,0.000615959,27.5,184.5625,0.16,0.3173828125
10000,0.000533393,27.5,184.5625,0.16,0.3173828125
10000,0.000468447,27.5,184.5625,0.16,0.3173828125
10000,0.0234409,27.5,184.5625,0.16,0.3173828125
10000,0.000844765,27.5,184.5625,0.16,0.3173828125
10000,0.000485214,27.5,184.5625,0.16,0.3173828125
10000,0.000656702,27.5,184.5625,0.16,0.3173828125
10000,0.00082116,27.5,184.5625,0.16,0.3173828125
10000,0.0223755,27.5,184.5625,0.18,0.3173828125
10000,0.000890739,27.5,184.5625,0.18,0.3173828125
10000,0.00034102,27.5,184.5625,0.18,0.3173828125
10000,0.000566693,27.5,184.5625,0.18,0.3173828125
10000,0.000746914,27.5,184.5625,0.18,0.3173828125
10000,0.0219356,27.5,184.5625,0.18,0.3173828125
10000,0.000862428,27.5,184.5625,0.18,0.3173828125
10000,0.000332721,27.5,184.5625,0.18,0.3173828125
10000,0.000558792,27.5,184.5625,0.18,0.3173828125
10000,0.000997384,27.5,184.5625,0.18,0.3173828125
10000,0.0216293,27.5,184.5625,0.18,0.3173828125
10000,0.000950073,27.5,184.5625,0.18,0.3173828125
10000,0.000438178,27.5,184.5625,0.18,0.3173828125
10000,0.000516892,27.5,184.5625,0.18,0.3173828125
10000,0.00076651,27.5,184.5625,0.18,0.3173828125
10000,0.0216158,27.5,184.5625,0.18,0.3173828125
10000,0.000942181,27.5,184.5625,0.18,0.3173828125
10000,0.000344939,27.5,184.5625,0.18,0.3173828125
10000,0.000569543,27.5,184.5625,0.18,0.3173828125
10000,0.000810157,27.5,184.5625,0.18,0.3173828125
10000,0.0220891,27.5,184.5625,0.18,0.3173828125
10000,0.000943836,27.5,184.5625,0.18,0.3173828125
10000,0.00035104,27.5,184.5625,0.18,0.3173828125
10000,0.000563808,27.5,184.5625,0.18,0.3173828125
10000,0.000778391,27.5,184.5625,0.18,0.3173828125
10000,0.0217262,27.5,184.5625,0.18,0.3173828125
10000,0.000935202,27.5,184.5625,0.18,0.3173828125
10000,0.000628749,27.5,184.5625,0.18,0.3173828125
10000,0.000585414,27.5,184.5625,0.18,0.3173828125
10000,0.000530454,27.5,184.5625,0.18,0.3173828125
10000,0.0215655,27.5,184.5625,0.18,0.3173828125
10000,0.000972921,27.5,184.5625,0.18,0.3173828125
10000,0.000444974,27.5,184.5625,0.18,0.3173828125
10000,0.000659377,27.5,184.5625,0.18,0.3173828125
10000,0.000564971,27.5,184.5625,0.18,0.3173828125
10000,0.0223297,27.5,184.5625,0.18,0.3173828125
10000,0.000926531,27.5,184.5625,0.18,0.3173828125
10000,0.000331172,27.5,184.5625,0.18,0.3173828125
10000,0.000558082,27.5,184.5625,0.18,0.3173828125
10000,0.000814768,27.5,184.5625,0.18,0.3173828125
10000,0.0236185,27.5,184.5625,0.18,0.3173828125
10000,0.0011552,27.5,184.5625,0.18,0.3173828125
10000,0.00060293,27.5,184.5625,0.18,0.3173828125
10000,0.00192649,27.5,184.5625,0.18,0.3173828125
10000,0.00056777,27.5,184.5625,0.18,0.3173828125
10000,0.0234674,27.5,184.5625,0.16,0.3173828125
10000,0.000930786,27.5,184.5625,0.16,0.3173828125
10000,0.000477736,27.5,184.5625,0.16,0.3173828125
10000,0.000545696,27.5,184.5625,0.16,0.3173828125
10000,0.00084023,27.5,184.5625,0.16,0.3173828125
10000,0.0216154,27.5,184.5625,0.16,0.3173828125
10000,0.000919924,27.5,184.5625,0.16,0.3173828125
10000,0.000397623,27.5,184.5625,0.16,0.3173828125
10000,0.000500629,27.5,184.5625,0.16,0.3173828125
10000,0.000803381,27.5,184.5625,0.16,0.3173828125
10000,0.0215816,27.5,184.5625,0.16,0.3173828125
10000,0.000961582,27.5,184.5625,0.16,0.3173828125
10000,0.000554322,27.5,184.5625,0.16,0.3173828125
10000,0.00132907,27.5,184.5625,0.16,0.3173828125
10000,0.000690784,27.5,184.5625,0.16,0.3173828125
10000,0.0220995,27.5,184.5625,0.16,0.3173828125
10000,0.000948689,27.5,184.5625,0.16,0.3173828125
10000,0.000541801,27.5,184.5625,0.16,0.3173828125
10000,0.000429117,27.5,184.5625,0.16,0.3173828125
10000,0.000634753,27.5,184.5625,0.16,0.3173828125
15000,0.0329111,27.5,184.5625,0.16,0.3173828125
