Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0251749,35.0,16.0703125,0.03,0.1103515625
10000,0.000615483,35.0,16.0703125,0.03,0.1103515625
10000,0.0280016,35.0,16.0703125,0.03,0.1103515625
10000,0.000790701,35.0,16.0703125,0.03,0.1103515625
10000,0.00093878,35.0,16.0703125,0.03,0.1103515625
10000,0.000830567,35.0,16.0703125,0.03,0.1103515625
10000,0.00030526,35.0,16.0703125,0.03,0.1103515625
10000,0.000793757,35.0,16.0703125,0.03,0.1103515625
10000,0.000766834,35.0,16.0703125,0.03,0.1103515625
10000,0.000770185,35.0,16.0703125,0.03,0.1103515625
10000,0.00077771,35.0,16.0703125,0.03,0.1103515625
10000,0.00076148,35.0,16.0703125,0.03,0.1103515625
10000,0.000829956,35.0,16.0703125,0.03,0.1103515625
10000,0.000868491,35.0,16.0703125,0.03,0.1103515625
10000,0.000697069,35.0,16.0703125,0.03,0.1103515625
10000,0.000719338,35.0,16.0703125,0.03,0.1103515625
10000,0.000727546,35.0,16.0703125,0.03,0.1103515625
10000,0.000795223,35.0,16.0703125,0.03,0.1103515625
10000,0.000740635,35.0,16.0703125,0.03,0.1103515625
10000,0.000769119,35.0,16.0703125,0.03,0.1103515625
10000,0.000761919,35.0,16.0703125,0.03,0.1103515625
10000,0.000769426,35.0,16.0703125,0.03,0.1103515625
10000,0.00086485,35.0,16.0703125,0.03,0.1103515625
10000,0.000670448,35.0,16.0703125,0.03,0.1103515625
10000,0.000765177,35.0,16.0703125,0.03,0.1103515625
10000,0.00076195,35.0,16.0703125,0.03,0.1103515625
10000,0.00078119,35.0,16.0703125,0.03,0.1103515625
10000,0.00100393,35.0,16.0703125,0.03,0.1103515625
10000,0.000760113,35.0,16.0703125,0.03,0.1103515625
10000,0.000804314,35.0,16.0703125,0.03,0.1103515625
10000,0.000738317,35.0,16.0703125,0.03,0.1103515625
10000,0.000768297,35.0,16.0703125,0.03,0.1103515625
10000,0.000775223,35.0,16.0703125,0.03,0.1103515625
10000,0.00076271,35.0,16.0703125,0.03,0.1103515625
10000,0.000769062,35.0,16.0703125,0.03,0.1103515625
10000,0.000770915,35.0,16.0703125,0.03,0.1103515625
10000,0.000767566,35.0,16.0703125,0.03,0.1103515625
10000,0.000807418,35.0,16.0703125,0.03,0.1103515625
10000,0.000724038,35.0,16.0703125,0.03,0.1103515625
10000,0.000771854,35.0,16.0703125,0.03,0.1103515625
10000,0.000765961,35.0,16.0703125,0.03,0.1103515625
10000,0.000804538,35.0,16.0703125,0.03,0.1103515625
10000,0.000733252,35.0,16.0703125,0.03,0.1103515625
10000,0.000871716,35.0,16.0703125,0.03,0.1103515625
10000,0.000690966,35.0,16.0703125,0.03,0.1103515625
10000,0.000773199,35.0,16.0703125,0.03,0.1103515625
10000,0.000724498,35.0,16.0703125,0.03,0.1103515625
10000,0.000761661,35.0,16.0703125,0.03,0.1103515625
10000,0.000763998,35.0,16.0703125,0.03,0.1103515625
10000,0.00101693,35.0,16.0703125,0.03,0.1103515625
10000,0.000777972,35.0,16.0703125,0.03,0.1103515625
10000,0.000773842,35.0,16.0703125,0.03,0.1103515625
10000,0.000761449,35.0,16.0703125,0.03,0.1103515625
10000,0.00076502,35.0,16.0703125,0.03,0.1103515625
10000,0.000805515,35.0,16.0703125,0.03,0.1103515625
10000,0.000739003,35.0,16.0703125,0.03,0.1103515625
10000,0.000767001,35.0,16.0703125,0.03,0.1103515625
10000,0.000772796,35.0,16.0703125,0.03,0.1103515625
10000,0.000767862,35.0,16.0703125,0.03,0.1103515625
10000,0.000769132,35.0,16.0703125,0.03,0.1103515625
10000,0.000773305,35.0,16.0703125,0.03,0.1103515625
10000,0.000764617,35.0,16.0703125,0.03,0.1103515625
10000,0.000766575,35.0,16.0703125,0.03,0.1103515625
10000,0.000770762,35.0,16.0703125,0.03,0.1103515625
10000,0.000759973,35.0,16.0703125,0.03,0.1103515625
10000,0.000770538,35.0,16.0703125,0.03,0.1103515625
10000,0.000728979,35.0,16.0703125,0.03,0.1103515625
10000,0.000834633,35.0,16.0703125,0.03,0.1103515625
10000,0.000723134,35.0,16.0703125,0.03,0.1103515625
10000,0.000756852,35.0,16.0703125,0.03,0.1103515625
10000,0.00102121,35.0,16.0703125,0.03,0.1103515625
10000,0.000763348,35.0,16.0703125,0.03,0.1103515625
10000,0.000772585,35.0,16.0703125,0.03,0.1103515625
10000,0.000772327,27.5,16.0703125,0.03,0.1103515625
10000,0.000766941,27.5,182.69140625,0.03,0.1103515625
10000,0.000756337,27.5,182.69140625,0.03,0.1103515625
10000,0.000800412,27.5,182.69140625,0.03,0.1103515625
10000,0.000732532,27.5,182.69140625,0.03,0.1103515625
10000,0.000766835,27.5,182.69140625,0.03,0.1103515625
10000,0.000768319,27.5,182.69140625,0.03,0.1103515625
10000,0.000761493,27.5,182.69140625,0.03,0.1103515625
10000,0.000768172,27.5,182.69140625,0.03,0.1103515625
10000,0.000767788,27.5,182.69140625,0.03,0.1103515625
10000,0.000787133,27.5,182.69140625,0.03,0.1103515625
10000,0.000769131,27.5,182.69140625,0.03,0.1103515625
10000,0.000737069,27.5,182.69140625,0.03,0.1103515625
10000,0.000800072,27.5,182.69140625,0.03,0.1103515625
10000,0.000766079,27.5,182.69140625,0.03,0.1103515625
10000,0.00072763,27.5,182.69140625,0.03,0.1103515625
10000,0.000781219,27.5,182.69140625,0.03,0.1103515625
10000,0.000741026,27.5,182.69140625,0.03,0.1103515625
10000,0.0010073,27.5,182.69140625,0.03,0.1103515625
10000,0.0019002,27.5,182.69140625,0.03,0.1103515625
10000,0.000508152,27.5,182.69140625,0.03,0.1103515625
10000,0.000330833,27.5,182.69140625,0.03,0.1103515625
10000,0.00190234,27.5,182.69140625,0.03,0.1103515625
10000,0.000577024,27.5,182.69140625,0.03,0.1103515625
10000,0.000314001,27.5,182.69140625,0.03,0.1103515625
10000,0.000635182,27.5,182.69140625,0.03,0.1103515625
10000,0.000766565,27.5,182.69140625,0.03,0.1103515625
10000,0.000760243,27.5,182.69140625,0.03,0.1103515625
10000,0.000772712,27.5,182.69140625,0.03,0.1103515625
10000,0.000767515,27.5,182.69140625,0.03,0.1103515625
10000,0.000765285,27.5,182.69140625,0.03,0.1103515625
10000,0.000785473,27.5,182.69140625,0.03,0.1103515625
10000,0.000768109,27.5,182.69140625,0.03,0.1103515625
10000,0.00077265,27.5,182.69140625,0.03,0.1103515625
10000,0.00079028,27.5,182.69140625,0.03,0.1103515625
