Lines num,Delta Time,CPU usage (%),CPU memory,GPU usage (%),GPU memory
10000,0.0249001,41.9,16.015625,0.24,0.1103515625
10000,0.000636387,41.9,16.015625,0.24,0.1103515625
10000,0.0269895,41.9,16.015625,0.24,0.1103515625
10000,0.000665185,41.9,16.015625,0.24,0.1103515625
10000,0.000766212,41.9,16.015625,0.24,0.1103515625
10000,0.000656814,41.9,16.015625,0.24,0.1103515625
10000,0.000406508,41.9,16.015625,0.24,0.1103515625
10000,0.000752094,41.9,16.015625,0.24,0.1103515625
10000,0.00072423,41.9,16.015625,0.24,0.1103515625
10000,0.000778212,41.9,16.015625,0.24,0.1103515625
10000,0.000832035,41.9,16.015625,0.24,0.1103515625
10000,0.000653664,41.9,16.015625,0.24,0.1103515625
10000,0.000738049,41.9,16.015625,0.24,0.1103515625
10000,0.000863814,41.9,16.015625,0.24,0.1103515625
10000,0.000630236,41.9,16.015625,0.24,0.1103515625
10000,0.000730597,41.9,16.015625,0.24,0.1103515625
10000,0.000719088,41.9,16.015625,0.24,0.1103515625
10000,0.00102149,41.9,16.015625,0.24,0.1103515625
10000,0.000744158,41.9,16.015625,0.24,0.1103515625
10000,0.000745616,41.9,16.015625,0.24,0.1103515625
10000,0.000749088,41.9,16.015625,0.24,0.1103515625
10000,0.000748717,41.9,16.015625,0.24,0.1103515625
10000,0.000786006,41.9,16.015625,0.24,0.1103515625
10000,0.00068794,41.9,16.015625,0.24,0.1103515625
10000,0.000737814,41.9,16.015625,0.24,0.1103515625
10000,0.000741691,41.9,16.015625,0.24,0.1103515625
10000,0.000745224,41.9,16.015625,0.24,0.1103515625
10000,0.000747804,41.9,16.015625,0.24,0.1103515625
10000,0.000748463,41.9,16.015625,0.24,0.1103515625
10000,0.000740146,41.9,16.015625,0.24,0.1103515625
10000,0.000764755,41.9,16.015625,0.24,0.1103515625
10000,0.000729111,41.9,16.015625,0.24,0.1103515625
10000,0.000741442,41.9,16.015625,0.24,0.1103515625
10000,0.000747959,41.9,16.015625,0.24,0.1103515625
10000,0.000747582,41.9,16.015625,0.24,0.1103515625
10000,0.000743969,41.9,16.015625,0.24,0.1103515625
10000,0.000734544,41.9,16.015625,0.24,0.1103515625
10000,0.00074244,41.9,16.015625,0.24,0.1103515625
10000,0.000741269,41.9,16.015625,0.24,0.1103515625
10000,0.000995391,41.9,16.015625,0.24,0.1103515625
10000,0.000807123,41.9,16.015625,0.24,0.1103515625
10000,0.000690303,41.9,16.015625,0.24,0.1103515625
10000,0.000773132,41.9,16.015625,0.24,0.1103515625
10000,0.000755714,41.9,16.015625,0.24,0.1103515625
10000,0.000733855,41.9,16.015625,0.24,0.1103515625
10000,0.000716286,41.9,16.015625,0.24,0.1103515625
10000,0.000747799,41.9,16.015625,0.24,0.1103515625
10000,0.000772866,41.9,16.015625,0.24,0.1103515625
10000,0.000723301,41.9,16.015625,0.24,0.1103515625
10000,0.000745739,41.9,16.015625,0.24,0.1103515625
10000,0.000746222,41.9,16.015625,0.24,0.1103515625
10000,0.00074724,41.9,16.015625,0.24,0.1103515625
10000,0.000744659,41.9,16.015625,0.24,0.1103515625
10000,0.000774613,41.9,16.015625,0.24,0.1103515625
10000,0.000715661,41.9,16.015625,0.24,0.1103515625
10000,0.000783808,41.9,16.015625,0.24,0.1103515625
10000,0.00071093,41.9,16.015625,0.24,0.1103515625
10000,0.000739284,41.9,16.015625,0.24,0.1103515625
10000,0.000787263,41.9,16.015625,0.24,0.1103515625
10000,0.000694436,41.9,16.015625,0.24,0.1103515625
10000,0.000738729,41.9,16.015625,0.24,0.1103515625
10000,0.00102672,41.9,16.015625,0.24,0.1103515625
10000,0.00072193,41.9,16.015625,0.24,0.1103515625
10000,0.000921328,41.9,16.015625,0.24,0.1103515625
10000,0.000603295,41.9,16.015625,0.24,0.1103515625
10000,0.000709891,41.9,16.015625,0.24,0.1103515625
10000,0.000735934,41.9,16.015625,0.24,0.1103515625
10000,0.000765574,41.9,16.015625,0.24,0.1103515625
10000,0.000732286,41.9,16.015625,0.24,0.1103515625
10000,0.000746363,41.9,16.015625,0.24,0.1103515625
10000,0.000751698,41.9,16.015625,0.24,0.1103515625
10000,0.000782067,41.9,16.015625,0.24,0.1103515625
10000,0.000706374,41.9,16.015625,0.24,0.1103515625
10000,0.000753908,25.6,182.72265625,0.24,0.1103515625
10000,0.00074064,25.6,182.72265625,0.24,0.1103515625
10000,0.000788711,25.6,182.72265625,0.24,0.1103515625
10000,0.000713219,25.6,182.72265625,0.24,0.1103515625
10000,0.000734363,25.6,182.72265625,0.24,0.1103515625
10000,0.000773131,25.6,182.72265625,0.24,0.1103515625
10000,0.000736768,25.6,182.72265625,0.24,0.1103515625
10000,0.000768712,25.6,182.72265625,0.24,0.1103515625
10000,0.000696326,25.6,182.72265625,0.24,0.1103515625
10000,0.000745742,25.6,182.72265625,0.24,0.1103515625
10000,0.000990617,25.6,182.72265625,0.24,0.1103515625
10000,0.000926522,25.6,182.72265625,0.24,0.1103515625
10000,0.000567342,25.6,182.72265625,0.24,0.1103515625
10000,0.000749542,25.6,182.72265625,0.24,0.1103515625
10000,0.000743434,25.6,182.72265625,0.24,0.1103515625
10000,0.000772814,25.6,182.72265625,0.24,0.1103515625
10000,0.000721258,25.6,182.72265625,0.24,0.1103515625
10000,0.00121406,25.6,182.72265625,0.24,0.1103515625
10000,0.000440721,25.6,182.72265625,0.24,0.1103515625
10000,0.000551205,25.6,182.72265625,0.24,0.1103515625
10000,0.00342938,25.6,182.72265625,0.24,0.1103515625
10000,0.000397199,25.6,182.72265625,0.24,0.1103515625
10000,0.000463668,25.6,182.72265625,0.24,0.1103515625
10000,0.000564006,25.6,182.72265625,0.24,0.1103515625
10000,0.000755535,25.6,182.72265625,0.24,0.1103515625
10000,0.000718091,25.6,182.72265625,0.24,0.1103515625
10000,0.000775015,25.6,182.72265625,0.24,0.1103515625
10000,0.000728972,25.6,182.72265625,0.24,0.1103515625
10000,0.000755753,25.6,182.72265625,0.24,0.1103515625
10000,0.000981284,25.6,182.72265625,0.24,0.1103515625
10000,0.000798443,25.6,182.72265625,0.24,0.1103515625
10000,0.000694072,25.6,182.72265625,0.24,0.1103515625
10000,0.000742172,25.6,182.72265625,0.24,0.1103515625
10000,0.000747481,25.6,182.72265625,0.24,0.1103515625
10000,0.000748625,25.6,182.72265625,0.24,0.1103515625
10000,0.00076962,25.6,182.72265625,0.24,0.1103515625
10000,0.000715722,25.6,182.72265625,0.24,0.1103515625
10000,0.00074947,25.6,182.72265625,0.24,0.1103515625
10000,0.000747301,25.6,182.72265625,0.24,0.1103515625
10000,0.000747222,25.6,182.72265625,0.24,0.1103515625
10000,0.000755635,25.6,182.72265625,0.24,0.1103515625
10000,0.000865249,25.6,182.72265625,0.05,0.3154296875
10000,0.000629548,25.6,182.72265625,0.05,0.3154296875
10000,0.000814517,25.6,182.72265625,0.05,0.3154296875
10000,0.000674878,25.6,182.72265625,0.05,0.3154296875
10000,0.000757391,25.6,182.72265625,0.05,0.3154296875
10000,0.000749269,25.6,182.72265625,0.05,0.3154296875
10000,0.000781715,25.6,182.72265625,0.05,0.3154296875
10000,0.000741671,25.6,182.72265625,0.05,0.3154296875
10000,0.000716841,25.6,182.72265625,0.05,0.3154296875
10000,0.000748546,25.6,182.72265625,0.05,0.3154296875
10000,0.000749929,25.6,182.72265625,0.05,0.3154296875
10000,0.000979222,25.6,182.72265625,0.05,0.3154296875
10000,0.000747189,25.6,182.72265625,0.05,0.3154296875
10000,0.000741049,25.6,182.72265625,0.05,0.3154296875
10000,0.000749444,25.6,182.72265625,0.05,0.3154296875
10000,0.000748274,25.6,182.72265625,0.05,0.3154296875
10000,0.000745417,25.6,182.72265625,0.05,0.3154296875
10000,0.000748465,25.6,182.72265625,0.05,0.3154296875
10000,0.000744026,25.6,182.72265625,0.05,0.3154296875
10000,0.000861252,25.6,182.72265625,0.05,0.3154296875
10000,0.000639133,25.6,182.72265625,0.05,0.3154296875
10000,0.00073937,25.6,182.72265625,0.05,0.3154296875
10000,0.000816459,25.6,182.72265625,0.05,0.3154296875
10000,0.000646937,25.6,182.72265625,0.05,0.3154296875
10000,0.000766766,25.6,182.72265625,0.05,0.3154296875
10000,0.000747242,25.6,182.72265625,0.05,0.3154296875
10000,0.000784807,25.6,182.72265625,0.05,0.3154296875
10000,0.000705722,25.6,182.72265625,0.05,0.3154296875
10000,0.000745424,25.6,182.72265625,0.05,0.3154296875
10000,0.000740172,25.6,182.72265625,0.05,0.3154296875
10000,0.000779435,25.6,182.72265625,0.05,0.3154296875
10000,0.000720926,25.6,182.72265625,0.05,0.3154296875
10000,0.000760784,25.6,182.72265625,0.05,0.3154296875
10000,0.000951905,25.6,182.72265625,0.05,0.3154296875
